CFSProbComp,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Public Service Department
Completed Work Orders by Problem Type",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Page:,1
Date:,,,01/18/2019,,,,,,,,,,,,,,,,,,
,,,,,,,,01/01/2018,,,to,,12/31/2018,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
TOTALS FOR PS TYPE: PS10 Pothole,,,,,,,,,,,,,,,,,,,,,
,WO Num,,,,,                 Created,,,Completed,,,,,Organ,Ctr,WO Units,,,Weight,,
,WO-PS-18-002205,,,,,2/12/2018 9:24 AM,,,2/13/2018 12:00 AM,,,,,43172,101 ,1,,,0,,
,WO-PS-18-002212,,,,,2/12/2018 10:20 AM,,,2/14/2018 12:00 AM,,,,,43172,204 ,1,,,0,,
,WO-PS-18-002214,,,,,2/12/2018 10:59 AM,,,2/15/2018 12:00 AM,,,,,43175,507 ,1,,,"2,132",,
,WO-PS-18-002231,,,,,2/12/2018 12:36 PM,,,2/13/2018 12:00 AM,,,,,43173,307 ,0.98,,,1,,
,WO-PS-18-002259,,,,,2/12/2018 2:09 PM,,,2/12/2018 12:00 AM,,,,,43173,301 ,1.05,,,1,,
,WO-PS-18-002261,,,,,2/12/2018 2:21 PM,,,2/13/2018 12:00 AM,,,,,43174,407 ,0,,,0,,
,WO-PS-18-002263,,,,,2/12/2018 2:43 PM,,,2/13/2018 12:00 AM,,,,,43174,404 ,0,,,0,,
,WO-PS-18-002288,,,,,2/13/2018 7:31 AM,,,2/13/2018 12:00 AM,,,,,43175,506 ,2.1,,,"4,121",,
,WO-PS-18-002306,,,,,2/13/2018 7:49 AM,,,2/12/2018 12:00 AM,,,,,43172,200 ,15,,,0,,
,WO-PS-18-002321,,,,,2/13/2018 10:28 AM,,,2/14/2018 12:00 AM,,,,,43174,402 ,0,,,0,,
,WO-PS-18-002353,,,,,2/13/2018 2:39 PM,,,2/14/2018 12:00 AM,,,,,43174,408 ,0,,,0,,
,WO-PS-18-002357,,,,,2/13/2018 3:11 PM,,,2/14/2018 12:00 AM,,,,,43174,409 ,0,,,0,,
,WO-PS-18-002360,,,,,2/13/2018 3:55 PM,,,2/14/2018 12:00 AM,,,,,43174,407 ,0,,,0,,
